Crecimiento de la población (% anual),Población urbana,Población rural,Población en aglomerados urbanos > 1 millón (% de la población total),"Población, total",Gasto nacional bruto (% del PIB)
3.178408265,18407126,17860929,26.46141625,36268055,101.2307362
3.178408265,19314944,18124373,26.89647089,37439317,100.1537288
3.268613397,20280872,18402411,27.31861978,38683283,99.87684211
3.302476127,21296475,18685643,27.74084404,39982118,99.59367925
3.325015011,22361628,18972250,28.1680514,41333878,100.0112351
3.340578937,23476406,19261585,28.59656412,42737991,99.6825641
3.319384566,24635453,19544984,29.04279557,44180437,99.18236842
3.287403623,25835906,19821057,29.50860748,45656963,99.98409639
3.260911611,27080962,20089375,29.995162,47170337,100.3336785
3.220930946,28365904,20348490,30.50124364,48714394,99.52497537
3.181789903,29681251,20608055,30.92931527,50289306,101.9655405
3.148154135,31023911,20873764,31.23283268,51897675,101.0811224
3.121922087,32410913,21132523,31.55286859,53543436,100.7213274
3.098053437,33843291,21384912,31.88392351,55228203,101.0370622
3.06275964,35318974,21626906,32.2357491,56945880,102.1292
3.020007773,36834438,21857444,32.6098335,58691882,102.7301636
2.955722315,38381924,22070619,33.01622233,60452543,101.3750985
2.95007547,39981868,22280637,33.43097583,62262505,99.91731206
2.945926334,41638276,22485721,33.8600571,64123997,100.5858237
2.842557149,43308578,22664334,34.33640007,65972912,101.2463559
2.591854611,44914943,22790243,34.8793444,67705186,96.89055082
2.232595528,46296621,22937148,35.100237,69233769,97.14637942
2.034537809,47619845,23036938,35.40387623,70656783,89.38525627
1.994680105,48956226,23124084,35.73474642,72080310,86.1937753
1.936372034,50294115,23195539,36.10209404,73489654,87.8576946
1.863543459,51624248,23247758,36.50817637,74872006,89.69577542
1.790109325,52944682,23279683,36.95939874,76224365,92.44397949
1.728691011,54258758,23294746,37.45171334,77553504,89.25706395
1.711194632,55588892,23303123,37.97201402,78892015,99.4421788
1.686421816,56930659,23303090,38.51961722,80233749,100.7772485
1.83597705,58363912,23356516,38.92185929,81720428,101.6681412
1.976373785,59859781,23491814,39.01793841,83351595,103.338453
1.950308454,61372714,23620450,39.12808447,84993164,105.1643767
1.92882636,62905040,23743407,39.24703117,86648447,101.5212759
1.904435315,64456282,23858142,39.37967483,88314424,103.0229586
1.85680778,66008876,23960696,39.53416717,89969572,95.7431199
1.781295715,67471815,24114740,39.72311438,91586555,96.56449016
1.728182896,68889330,24293764,39.93436835,93183094,97.55340271
1.685793383,70304057,24463227,40.1677714,94767284,98.90747351
1.640548383,71712596,24622214,40.42363399,96334810,99.03400105
1.584550787,73132993,24740449,40.57662241,97873442,100.4116506
1.54194113,74590443,24803845,40.53020834,99394288,99.61612012
1.520455223,76056158,24860923,40.49478007,100917081,100.7454658
1.487400531,77520574,24908767,40.47420163,102429341,102.3567956
1.469652975,78995700,24950113,40.46306223,103945813,100.9271498
1.429511671,80460988,24981414,40.46800736,105442402,100.7937198
1.360538574,81892383,24994407,40.50313608,106886790,100.4308579
1.316236819,83306647,24996326,40.55771396,108302973,100.6897249
1.267535742,84700556,24983933,40.63443373,109684489,101.7690007
1.236743692,86085517,24963911,40.72367217,111049428,100.6344297
1.326578957,87567088,24965313,40.78079877,112532401,99.91383253
1.427639765,89164082,24986399,40.82014074,114150481,99.86498638
1.396615462,90758420,24997489,40.87427364,115755909,100.557852
1.317160793,92306597,24984089,40.96051924,117290686,101.1535707
1.241466716,93808838,24947049,41.08014957,118755887,99.92701781
1.16700885,95260846,24889051,41.2321011,120149897,101.042233
1.133234288,96701350,24817871,41.2614964,121519221,101.1539459
1.080420738,98108030,24731228,41.31436792,122839258,99.74064949
0.951668644,99404550,24609311,41.42364457,124013861,99.05869615
0.86026509,100623628,24461683,41.57967117,125085311,97.45841589
0.727243816,101719689,24278613,41.80361256,125998302,94.79711219
0.559420832,102651435,24053703,42.11226699,126705138,98.41786
